FIPS,perc_fluor,year,locationid,datatype,TEETHLOST,DENTALVISITS,high_cl_TEETHLOST,high_cl_DENTAL,low_cl_TEETHLOST,low_cl_DENTAL,SES,HC,REMS,HTT,TOTAL,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_MINRTY,TEETHLOST_pr,DENTALVISITS_pr,FLUORIDE_pr,SES_pr,HC_pr,REMS_pr,HTT_pr,TOTAL_pr,FIPS_num,POV150_pr,UNEMP_pr,HBURD_pr,NOHSDP_pr,UNINSU_pr,MINRTY_pr
01065,76.8,2020,1065,AgeAdjPrv,20.3,49.4,25.4,53,15.5,46,0.9472,0.7893,0.9335,0.8269,0.9351,37.4,9.1,27,19.3,8.3,61.6,0.9237481031866465,0.13201820940819423,0.468133535660091,0.9434749620637329,0.7704855842185129,0.9415781487101669,0.8323216995447648,0.9336115326251897,1065,0.9233687405159332,0.9332321699544764,0.8209408194233687,0.855083459787557,0.44916540212443096,0.9415781487101669
01067,20.1,2020,1067,AgeAdjPrv,15.7,58.4,20.8,62.2,11.3,54.5,0.6047,0.4074,0.6916,0.4669,0.5646,25.9,5.5,19.4,19.5,7.8,30.7,0.6657814871016692,0.4761001517450683,0.23710166919575112,0.5735963581183612,0.37746585735963584,0.6828528072837633,0.4791350531107739,0.5417298937784522,1067,0.582701062215478,0.6176024279210925,0.2860394537177542,0.8622913505311077,0.40477996965098634,0.6828528072837633
01069,78.5,2020,1069,AgeAdjPrv,14.6,58.2,19.6,61.7,10.3,54.6,0.7817,0.6585,0.7276,0.3927,0.7021,28.3,5.6,24.4,13.1,11.4,34.2,0.5762518968133535,0.4647192716236722,0.4798937784522003,0.7602427921092565,0.6323975720789075,0.7226858877086495,0.40477996965098634,0.6836115326251897,1069,0.6855083459787557,0.6312594840667678,0.6987860394537178,0.578907435508346,0.6866464339908953,0.7226858877086495
01071,74.3,2020,1071,AgeAdjPrv,15.4,57.7,20.9,61.9,10.5,53.7,0.6945,0.6095,0.3488,0.3262,0.5528,30.6,5.2,20.2,16.5,10.1,10.8,0.6468133535660091,0.44840667678300455,0.44878603945371776,0.6661608497723824,0.580804248861912,0.33687405159332323,0.3357359635811836,0.5295902883156297,1071,0.7628983308042488,0.5641122913505311,0.3584977238239757,0.746206373292868,0.5967374810318664,0.33687405159332323
01073,98.7,2020,1073,AgeAdjPrv,12.5,63.1,16.6,66.1,8.9,60,0.6862,0.6903,0.8787,0.6267,0.7562,24.9,6.3,28.1,9.5,9,50.4,0.37594840667678303,0.6889226100151745,0.7363429438543247,0.657814871016692,0.6665402124430956,0.8854324734446131,0.6407435508345979,0.7405159332321699,1073,0.5284522003034902,0.738619119878604,0.8584977238239757,0.332701062215478,0.5094840667678301,0.8854324734446131
01075,28.6,2020,1075,AgeAdjPrv,15.7,54.9,21.3,58.9,11.1,51,0.4484,0.663,0.4319,0.6321,0.5519,26.8,5.1,17.2,17,5.6,14,0.6657814871016692,0.3330804248861912,0.26441578148710165,0.4180576631259484,0.637329286798179,0.4195751138088012,0.6460546282245827,0.5284522003034902,1075,0.6244309559939302,0.5462822458270106,0.1422610015174507,0.7697268588770865,0.20485584218512898,0.4195751138088012
01077,96,2020,1077,AgeAdjPrv,13.1,59.4,18.6,63.4,8.7,55.6,0.5306,0.2909,0.4777,0.5439,0.4745,24.7,4.7,22.5,11.4,9,15.9,0.44650986342943855,0.5166919575113809,0.6688163884673748,0.4988619119878604,0.26517450682852806,0.4639605462822458,0.5588012139605463,0.454855842185129,1077,0.5170713201820941,0.4635811836115326,0.5500758725341427,0.4795144157814871,0.5094840667678301,0.4639605462822458
01079,5.9,2020,1079,AgeAdjPrv,16.5,59,21.4,62.7,12,55.4,0.5605,0.4039,0.6034,0.1891,0.4239,28,3.8,19.6,19.2,9.2,23.5,0.7188922610015175,0.4996206373292868,0.18626707132018208,0.5276934749620638,0.37405159332321697,0.5891502276176024,0.19385432473444614,0.40553869499241274,1079,0.6722306525037937,0.2738998482549317,0.30652503793626706,0.8520485584218513,0.5238998482549317,0.5891502276176024
01081,93.5,2020,1081,AgeAdjPrv,12.1,66.3,16.5,69.3,8.4,63,0.5907,0.1894,0.7151,0.9443,0.6795,28.2,4.7,26.8,9.6,7.8,32.9,0.33763277693474963,0.8448406676783005,0.6267071320182094,0.5591805766312595,0.17147192716236723,0.7090288315629742,0.9487860394537178,0.6589529590288316,1081,0.6813353566009105,0.4635811836115326,0.8129742033383915,0.34332321699544766,0.40477996965098634,0.7090288315629742
01083,96,2020,1083,AgeAdjPrv,13.1,62.3,18.3,65.9,8.6,58.3,0.4074,0.4182,0.6127,0.4882,0.4602,20.6,5.1,17.2,14.7,8.6,24.2,0.44650986342943855,0.6513657056145675,0.6688163884673748,0.37898330804248864,0.3880880121396055,0.5982549317147192,0.5015174506828528,0.4400606980273141,1083,0.3285280728376328,0.5462822458270106,0.1422610015174507,0.6646433990895296,0.4776176024279211,0.5982549317147192
